,movieId,title,genres
0,1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy
1,2,Jumanji,Adventure|Children|Fantasy
2,3,Grumpier Old Men,Comedy|Romance
3,4,Waiting to Exhale,Comedy|Drama|Romance
4,5,Father of the Bride Part II,Comedy
5,6,Heat,Action|Crime|Thriller
6,7,Sabrina,Comedy|Romance
7,8,Tom and Huck,Adventure|Children
8,9,Sudden Death,Action
9,10,GoldenEye,Action|Adventure|Thriller
10,11,The American President,Comedy|Drama|Romance
11,12,Dracula: Dead and Loving It,Comedy|Horror
12,13,Balto,Adventure|Animation|Children
13,14,Nixon,Drama
14,15,Cutthroat Island,Action|Adventure|Romance
15,16,Casino,Crime|Drama
16,17,Sense and Sensibility,Drama|Romance
17,18,Four Rooms,Comedy
18,19,Ace Ventura: When Nature Calls,Comedy
19,20,Money Train,Action|Comedy|Crime|Drama|Thriller
20,21,Get Shorty,Comedy|Crime|Thriller
21,22,Copycat,Crime|Drama|Horror|Mystery|Thriller
22,23,Assassins,Action|Crime|Thriller
23,24,Powder,Drama|Sci-Fi
24,25,Leaving Las Vegas,Drama|Romance
25,26,Othello,Drama
26,27,Now and Then,Children|Drama
27,28,Persuasion,Drama|Romance
28,29,"The City of Lost Children (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama
30,31,Dangerous Minds,Drama
31,32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller
32,34,Babe,Children|Drama
33,36,Dead Man Walking,Crime|Drama
34,38,It Takes Two,Children|Comedy
35,39,Clueless,Comedy|Romance
36,40,"Cry, the Beloved Country",Drama
37,41,Richard III,Drama|War
38,42,Dead Presidents,Action|Crime|Drama
39,43,Restoration,Drama
40,44,Mortal Kombat,Action|Adventure|Fantasy
41,45,To Die For,Comedy|Drama|Thriller
42,46,How to Make an American Quilt,Drama|Romance
43,47,Seven (a.k.a. Se7en),Mystery|Thriller
44,48,Pocahontas,Animation|Children|Drama|Musical|Romance
45,49,When Night Is Falling,Drama|Romance
46,50,The Usual Suspects,Crime|Mystery|Thriller
47,52,Mighty Aphrodite,Comedy|Drama|Romance
48,53,Lamerica,Adventure|Drama
49,54,The Big Green,Children|Comedy
50,55,Georgia,Drama
51,57,Home for the Holidays,Drama
52,58,"The Postman (Postino, Il)",Comedy|Drama|Romance
53,60,The Indian in the Cupboard,Adventure|Children|Fantasy
54,61,Eye for an Eye,Drama|Thriller
55,62,Mr. Holland's Opus,Drama
56,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime
57,64,Two if by Sea,Comedy|Romance
58,65,Bio-Dome,Comedy
59,66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller
60,68,French Twist (Gazon maudit),Comedy|Romance
61,69,Friday,Comedy
62,70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller
63,71,Fair Game,Action
64,72,Kicking and Screaming,Comedy|Drama
65,73,"Misérables, Les",Drama|War
66,74,Bed of Roses,Drama|Romance
67,75,Big Bully,Comedy|Drama
68,76,Screamers,Action|Sci-Fi|Thriller
69,77,Nico Icon,Documentary
70,78,The Crossing Guard,Action|Crime|Drama|Thriller
71,79,The Juror,Drama|Thriller
72,80,The White Balloon (Badkonake sefid),Children|Drama
73,81,Things to Do in Denver When You're Dead,Crime|Drama|Romance
74,82,Antonia's Line (Antonia),Comedy|Drama
75,83,Once Upon a Time... When We Were Colored,Drama|Romance
76,85,Angels and Insects,Drama|Romance
77,86,White Squall,Action|Adventure|Drama
78,87,Dunston Checks In,Children|Comedy
79,88,Black Sheep,Comedy
80,89,Nick of Time,Action|Thriller
81,92,Mary Reilly,Drama|Horror|Thriller
82,93,Vampire in Brooklyn,Comedy|Horror|Romance
83,94,Beautiful Girls,Comedy|Drama|Romance
84,95,Broken Arrow,Action|Adventure|Thriller
85,96,In the Bleak Midwinter,Comedy|Drama
86,97,"Hate (Haine, La)",Crime|Drama
87,99,Heidi Fleiss: Hollywood Madam,Documentary
88,100,City Hall,Drama|Thriller
89,101,Bottle Rocket,Adventure|Comedy|Crime|Romance
90,102,Mr. Wrong,Comedy
91,103,Unforgettable,Mystery|Sci-Fi|Thriller
92,104,Happy Gilmore,Comedy
93,105,The Bridges of Madison County,Drama|Romance
94,106,Nobody Loves Me (Keiner liebt mich),Comedy|Drama
95,107,Muppet Treasure Island,Adventure|Children|Comedy|Musical
96,108,Catwalk,Documentary
97,110,Braveheart,Action|Drama|War
98,111,Taxi Driver,Crime|Drama|Thriller
99,112,Rumble in the Bronx (Hont faan kui),Action|Adventure|Comedy|Crime
100,113,Before and After,Drama|Mystery
101,116,Anne Frank Remembered,Documentary
